순위,임박도,단계,코드,종목명,시장,현재가,등락%,G적선,G청선,적선5일변화,T,B,U,20일상승%,60일상승%,그물망대비%,200일선대비%,장기이평수렴%,그물망폭%,그물망,거래량비%,5일거래량비%,주봉적선,주봉청선
1,79.1,초기 진입,055550,신한지주,코스피,110000,2.42,20.1,0.0,10.2,6.7,60.0,63.2,4.8,13.8,4.71,21.4,7.4,2.1,적색,111.5,69.7,20.1,0.0
2,78.6,초기 진입,108670,LX하우시스,코스피,34450,0.15,16.8,0.0,11.5,5.4,56.0,49.7,10.8,-11.2,4.81,10.9,4.4,1.9,적색,58.9,142.5,15.2,13.1
3,77.5,초기 진입,026960,동서,코스피,26500,0.95,15.5,0.4,4.4,6.7,56.6,60.0,1.0,7.5,2.53,0.3,2.7,2.5,적색,97.3,67.0,15.5,0.0
4,77.2,확산 시작,175330,JB금융지주,코스피,28850,2.12,26.3,0.0,10.5,8.0,57.5,56.6,15.9,12.3,5.02,8.5,3.2,4.1,적색,62.7,45.8,26.3,0.0
5,76.4,초기 진입,021240,코웨이,코스피,95700,-0.93,12.6,1.1,4.9,6.6,55.9,59.5,12.6,4.2,3.08,11.3,2.1,1.1,적색,75.0,93.2,11.7,1.0
6,76.4,초기 진입,009290,광동제약,코스피,6460,0.78,22.6,0.0,7.8,3.4,56.6,64.4,5.9,-18.4,6.32,-5.0,5.5,2.3,적색,71.4,82.1,22.6,17.0
7,75.6,초기 진입,097950,CJ제일제당,코스피,204500,0.74,15.2,0.0,7.4,6.5,59.3,57.4,7.0,-3.8,5.16,-3.7,1.7,1.8,적색,56.3,83.5,15.2,5.1
8,74.9,확산 시작,001800,오리온홀딩스,코스피,27750,3.16,20.4,0.0,9.8,8.8,62.2,51.0,10.3,16.8,7.27,20.6,7.3,1.6,적색,92.9,95.6,20.4,0.0
9,74.8,확산 시작,086790,하나금융지주,코스피,134700,1.05,22.8,1.6,8.5,9.0,59.3,54.4,9.9,9.4,3.44,22.1,7.9,3.6,적색,59.6,54.9,22.8,1.6
10,72.8,확산 시작,003690,코리안리,코스피,14530,-0.68,17.1,0.7,6.1,12.7,60.8,54.8,8.7,22.7,4.99,17.0,4.5,2.5,적색,72.2,94.2,15.0,0.0
