순위,유사도점수,코드,종목명,시장,현재가,고점대비하락%,저점대비반등%,TSI,TSI시그널,Hilo,그물망상단,그물망대비%,저점경과일,거래량,거래량비율%
1,75.5,005810,풍산홀딩스,코스피,37250,-51.6,26.5,4.43,-5.03,92.9,35750,4.19,6,28401,85.1
2,74.0,285130,SK케미칼,코스피,43650,-50.7,21.8,1.9,-6.34,98.7,41192,5.97,7,41321,74.5
3,71.6,005880,대한해운,코스피,2045,-51.3,23.9,0.68,-8.64,95.2,1948,4.96,7,2011698,67.4
4,70.3,084010,대한제강,코스피,8380,-52.1,23.2,1.99,-6.97,93.5,8095,3.51,6,39873,119.5
5,69.6,234690,녹십자웰빙,코스닥,8810,-58.0,31.9,2.48,-6.11,98.2,8234,6.99,6,46705,59.3
6,63.1,214420,토니모리,코스피,5600,-57.5,33.7,-1.93,-9.42,92.8,5339,4.88,6,105788,93.4
7,62.9,123410,코리아에프티,코스닥,5790,-51.6,25.9,0.79,-6.01,96.0,5697,1.63,6,63319,78.1
8,62.5,460860,동국제강,코스피,9800,-55.2,23.6,6.32,-2.41,90.5,9230,6.18,20,129984,65.7
9,61.8,352480,씨앤씨인터내셔널,코스닥,20700,-55.1,25.1,-3.57,-12.14,97.6,19725,4.94,7,19235,96.4
10,61.7,043150,바텍,코스닥,19150,-41.4,19.5,-0.86,-11.84,97.5,18224,5.08,7,38625,105.3
11,61.1,000210,DL,코스피,50900,-49.8,30.5,3.03,-2.9,87.5,48149,5.71,6,63727,54.7
12,61.1,036890,진성티이씨,코스닥,14390,-46.9,28.4,-1.35,-6.45,92.7,14000,2.78,6,59354,87.7
13,59.5,105740,디케이락,코스닥,7200,-47.2,16.7,-0.82,-7.71,100.0,6881,4.63,13,68681,134.1
14,59.2,375500,DL이앤씨,코스피,72000,-53.8,46.0,2.56,-6.41,93.0,67165,7.2,7,320128,94.5
15,59.1,003550,LG,코스피,108100,-52.6,22.7,1.58,-4.79,98.0,107180,0.86,7,219938,67.4
16,59.0,204620,글로벌텍스프리,코스닥,5260,-39.5,33.0,5.59,-4.35,94.9,4819,9.15,7,845959,122.2
17,58.9,003090,대웅,코스피,17940,-49.6,16.4,-1.5,-8.33,96.2,17363,3.32,6,40490,68.8
18,58.3,009540,HD한국조선해양,코스피,398500,-35.7,26.9,6.3,0.25,94.9,376019,5.98,7,100744,44.8
19,58.3,006280,녹십자,코스피,129900,-42.4,22.7,-1.09,-7.91,100.0,124792,4.09,4,28612,63.3
20,58.2,012450,한화에어로스페이스,코스피,1097000,-52.7,40.1,-1.92,-11.27,99.1,1036153,5.87,7,162033,69.9
21,57.9,047050,포스코인터내셔널,코스피,58000,-50.8,29.3,1.72,-4.94,98.1,54476,6.47,29,421990,88.3
22,57.9,001230,동국홀딩스,코스피,1881,-43.4,24.6,-1.63,-10.33,92.8,1810,3.87,13,566926,130.3
23,56.9,102710,이엔에프테크놀로지,코스닥,45500,-48.8,36.6,1.08,-5.25,86.2,43757,3.98,6,77615,85.6
24,56.9,286940,롯데이노베이트,코스피,19290,-39.9,26.4,4.28,-5.71,97.3,18477,4.4,6,32460,180.5
25,56.4,195940,HK이노엔,코스닥 GL,41600,-40.6,19.5,-2.6,-10.13,96.5,40346,3.11,6,133119,97.6
26,56.4,013030,하이록코리아,코스닥,33250,-42.7,20.7,-0.42,-6.54,99.1,32679,1.74,6,33714,86.5
27,56.3,009290,광동제약,코스피,6460,-59.8,25.4,3.37,-3.35,100.0,6103,5.84,29,124052,71.4
28,55.9,004490,세방전지,코스피,55600,-39.6,18.6,-1.93,-6.93,94.6,53642,3.65,6,25701,69.5
29,55.4,016380,KG스틸,코스피,5860,-38.9,21.5,10.0,-0.98,92.8,5450,7.51,7,439016,148.4
30,55.1,003850,보령,코스피,8800,-31.4,18.8,1.85,-5.74,97.2,8482,3.75,7,110458,104.0
31,55.1,030520,한컴,코스닥,18480,-38.7,24.9,2.01,-7.13,89.3,18175,1.68,7,114404,100.0
32,55.1,003000,부광약품,코스피,4325,-63.8,20.8,-1.56,-9.67,91.4,4226,2.32,7,251041,69.9
33,54.6,002310,아세아제지,코스피,8000,-40.2,17.6,-2.96,-10.53,96.0,7726,3.54,7,76589,75.1
34,54.6,082800,비보존 제약,코스닥,2815,-54.4,36.0,-3.12,-11.22,99.3,2765,1.78,7,195539,86.3
35,54.3,100120,뷰웍스,코스닥,25400,-44.2,30.5,4.22,-5.51,85.0,24233,4.81,6,14745,42.5
36,54.1,029460,케이씨,코스피,31400,-45.1,33.1,-1.24,-6.94,86.7,30487,2.99,7,38755,101.9
37,54.0,018250,애경산업,코스피,11990,-47.0,18.5,1.87,-3.96,98.2,11561,3.7,29,43199,119.2
38,53.5,003350,한국화장품제조,코스피,8590,-39.5,27.3,5.06,-1.13,91.5,8123,5.75,29,145779,124.6
39,53.2,499790,GS피앤엘,코스피,44000,-51.9,36.4,2.5,-6.7,82.7,41271,6.61,5,94396,75.4
40,52.9,317450,명인제약,코스피,46050,-43.0,17.8,3.21,-5.32,99.3,43242,6.49,29,22580,145.7
41,52.8,086900,메디톡스,코스닥,79800,-51.1,20.9,-2.61,-11.68,92.0,79061,0.93,6,15569,65.6
42,52.1,403850,더핑크퐁컴퍼니,코스닥,11900,-59.6,25.3,7.99,-0.55,83.0,11355,4.8,13,56546,79.3
43,51.5,136490,선진,코스피,10340,-39.1,23.5,8.81,2.56,94.7,9663,7.0,29,57083,68.0
44,51.4,035810,이지홀딩스,코스닥,4465,-59.3,18.0,-4.74,-10.07,93.8,4382,1.89,6,186595,90.4
45,51.3,004000,롯데정밀화학,코스피,48550,-42.4,17.4,0.91,-4.83,97.8,46652,4.07,29,36645,54.4
46,51.3,475960,토모큐브,코스닥,37000,-59.9,36.0,-3.13,-8.9,89.9,36517,1.32,7,31761,68.2
47,51.1,023590,다우기술,코스피,38400,-48.2,18.9,2.43,-2.37,83.0,37332,2.86,7,33924,59.7
48,50.8,237880,클리오,코스닥,11190,-37.1,27.2,4.46,-0.06,95.2,10641,5.15,29,35808,43.2
49,50.5,200130,콜마비앤에이치,코스닥 GL,8840,-48.8,16.3,-3.17,-9.97,97.6,8816,0.27,6,51727,89.7
50,50.3,018290,브이티,코스닥,13580,-52.4,32.0,8.31,-1.75,86.4,12182,11.48,6,210258,115.7
51,50.3,140070,서플러스글로벌,코스닥,1766,-55.6,45.6,-4.17,-12.88,97.9,1715,2.92,6,269245,156.2
52,50.1,213420,덕산네오룩스,코스닥,33500,-57.2,36.7,-2.6,-10.38,85.7,32957,1.65,7,163370,108.3
53,50.0,060370,LS마린솔루션,코스닥,30750,-56.5,37.0,3.55,-1.32,86.2,28765,6.9,29,92928,62.3
54,49.5,031210,서울보증보험,코스피,44400,-38.8,12.0,2.58,-2.42,97.3,42901,3.49,29,25168,85.8
55,49.5,006730,서부T&D,코스닥 GL,11130,-52.8,25.8,0.13,-6.58,87.5,10396,7.05,32,321386,68.5
56,49.1,326030,SK바이오팜,코스피,85400,-39.1,17.0,-3.72,-9.61,93.2,84521,1.04,6,136799,106.3
57,49.0,037270,YG PLUS,코스피,3495,-66.4,28.7,-5.25,-12.9,95.7,3464,0.89,6,213953,77.9
58,48.9,095660,네오위즈,코스닥,19280,-44.2,19.8,6.31,-0.86,86.8,18561,3.87,28,51874,74.4
59,48.8,108670,LX하우시스,코스피,34450,-33.3,20.0,5.45,1.02,94.0,32870,4.81,29,18126,58.9
60,48.7,257720,실리콘투,코스닥,39300,-40.9,31.7,5.39,0.85,86.0,36410,7.94,29,700629,126.0
61,48.4,217820,원익피앤이,코스닥,2040,-65.5,34.7,-4.53,-13.25,94.6,2015,1.19,6,154378,44.5
62,48.1,035720,카카오,코스피,39900,-50.0,23.7,7.23,-0.36,89.1,37346,6.84,29,3984335,178.6
63,48.1,032190,다우데이타,코스닥,18990,-49.3,19.1,1.46,-3.09,81.3,18700,1.55,7,83896,84.4
64,47.8,001680,대상,코스피,18550,-34.2,16.8,4.93,-0.4,94.9,17900,3.63,29,105049,146.9
65,47.7,214150,클래시스,코스닥 GL,45900,-49.0,24.6,-4.66,-9.38,85.0,45263,1.41,6,176941,81.0
66,47.7,389650,넥스트바이오메디컬,코스닥,40050,-64.2,32.8,-2.01,-9.01,86.5,39478,1.45,7,12671,33.1
67,47.5,097950,CJ제일제당,코스피,204500,-31.5,18.5,6.51,-1.44,92.8,194460,5.16,29,28982,56.3
