등급,코드,종목명,시장,현재가,등락%,G적선,G청선,T,B,U,U시그널,그물망,능선상승일,200일선위,주봉충족,주봉G적,주봉G청,주봉T,주봉B,거래량,거래량비%
홈런,051160,지어소프트,코스닥,11220,2.47,72.4,0.0,56.9,86.0,79.0,74.6,적색,16,O,O,70.3,0.0,12.3,73.6,347911,208.8
홈런,236200,슈프리마,코스닥,62700,4.15,58.7,0.0,32.8,74.5,71.5,54.8,적색,25,O,O,58.7,0.0,14.7,67.6,53702,170.9
홈런,078930,GS,코스피,98900,0.1,58.2,0.0,23.9,64.0,61.4,54.6,적색,17,O,O,58.2,0.0,26.0,67.5,370060,67.5
홈런,051900,LG생활건강,코스피,333500,2.93,55.1,0.0,40.8,77.4,64.0,52.2,적색,12,O,O,55.1,0.0,5.9,68.2,183762,183.5
홈런,241710,코스메카코리아,코스닥 GL,95900,0.0,50.1,0.0,14.5,62.8,59.9,48.0,적색,29,O,O,48.2,0.0,6.5,60.1,112035,116.7
홈런,204610,티쓰리,코스닥,3440,3.46,49.9,0.0,27.5,72.0,64.6,54.4,적색,29,O,O,40.7,0.0,18.5,64.7,201988,123.6
홈런,089860,롯데렌탈,코스피,40400,0.75,48.0,0.0,34.4,68.0,69.7,59.4,적색,27,O,O,48.0,0.0,20.8,67.0,98533,93.2
홈런,420570,제이투케이바이오,코스닥,10330,0.78,46.7,0.0,30.5,70.0,79.8,72.5,적색,20,O,O,45.3,1.3,5.7,61.0,39341,120.0
홈런,033560,블루콤,코스닥,5250,-3.49,44.8,3.6,32.7,65.5,69.9,64.3,적색,46,O,O,59.1,0.0,42.7,79.5,59921,65.8
홈런,013700,까뮤이앤씨,코스피,1580,4.71,42.6,0.0,19.0,64.1,54.1,52.8,적색,18,O,O,42.6,0.0,12.5,63.1,688478,125.3
홈런,044820,코스맥스비티아이,코스피,23100,0.87,40.3,0.0,25.6,69.4,62.5,58.1,적색,27,O,O,40.3,0.0,20.3,67.3,29926,95.8
강력,008930,한미사이언스,코스피,44650,1.94,71.1,0.0,40.2,77.3,72.1,63.5,적색,26,O,X,71.1,0.0,-2.5,62.1,274791,119.8
강력,377450,리파인,코스닥,13910,2.96,61.6,0.0,36.6,72.1,74.8,64.0,적색,25,O,X,61.6,0.0,-2.4,60.9,138939,274.9
강력,053350,이니텍,코스닥,3770,4.29,60.1,3.1,22.0,60.7,61.1,52.9,적색,28,X,X,53.6,0.4,-17.2,47.8,104853,78.9
강력,099440,스맥,코스닥,4030,0.75,59.0,0.0,25.0,64.6,61.0,59.1,적색,16,X,X,55.3,0.0,-18.0,49.5,258697,31.3
강력,013990,아가방컴퍼니,코스닥,4835,-1.33,49.2,1.3,29.3,66.3,69.6,63.7,적색,14,O,X,49.2,3.8,-10.9,54.7,90167,29.5
강력,078340,컴투스,코스닥 GL,33650,2.59,48.2,0.0,31.8,71.3,69.6,60.8,적색,11,O,X,48.2,0.0,-13.3,55.7,92955,169.8
강력,090430,아모레퍼시픽,코스피,141800,2.9,46.2,0.0,20.6,65.1,68.2,59.0,적색,27,O,X,46.2,0.0,-1.1,57.0,435171,115.4
강력,008490,서흥,코스피,23650,3.5,46.0,0.0,19.6,65.2,53.4,45.0,적색,25,O,X,46.0,1.1,0.1,57.2,27004,77.0
강력,192820,코스맥스,코스피,205500,1.73,41.8,0.0,21.2,65.4,56.4,50.0,적색,12,O,X,41.8,0.0,-2.3,56.0,66738,72.8
강력,154040,다산솔루에타,코스닥,1003,-0.2,41.5,0.2,25.1,70.9,73.4,61.4,적색,5,X,X,37.4,1.8,-26.0,51.1,369740,297.0
강력,194700,노바렉스,코스닥,16270,5.24,40.3,0.0,14.4,64.7,65.5,54.2,적색,6,O,X,40.3,6.1,-3.0,56.4,442408,393.4
강력,265740,엔에프씨,코스닥,6350,-0.16,38.6,0.2,17.3,62.6,63.8,58.5,적색,9,O,X,38.6,0.0,-4.1,53.2,222765,199.0
강력,244920,에이플러스에셋,코스피,13180,2.65,34.9,0.0,22.3,66.1,59.5,50.0,적색,20,O,O,39.8,0.0,14.0,64.0,49521,76.9
강력,002790,아모레퍼시픽홀딩스,코스피,27250,2.06,33.3,0.0,17.9,63.6,69.4,56.6,적색,7,O,X,33.3,0.0,-5.9,52.6,78317,64.9
강력,024720,콜마홀딩스,코스피,9730,0.31,32.9,0.0,20.4,64.6,73.2,54.6,적색,17,O,X,32.9,0.0,-10.0,52.9,34841,67.5
강력,111770,영원무역,코스피,93400,-1.68,32.7,1.7,21.6,62.4,61.2,51.0,적색,26,O,O,32.7,0.0,9.2,59.5,51305,70.1
강력,282330,BGF리테일,코스피,153100,14.68,32.4,0.0,14.1,69.2,67.3,50.1,적색,2,O,O,33.5,0.0,8.9,64.8,218092,327.8
강력,007070,GS리테일,코스피,28350,7.18,32.2,0.0,9.4,64.1,51.1,40.9,적색,2,O,O,32.2,0.0,15.4,61.4,596701,302.6
강력,028670,팬오션,코스피,6040,3.25,31.9,0.0,15.0,62.5,56.6,45.0,적색,4,O,O,31.9,0.0,12.8,63.0,4362987,144.9
강력,260970,에스앤디,코스닥,58300,7.17,31.9,0.0,9.0,62.9,57.7,46.3,적색,4,X,X,31.9,8.2,-16.2,48.9,39181,149.6
강력,339950,아이비김영,코스닥,3120,3.31,31.9,0.0,27.3,68.9,71.4,56.8,적색,27,O,O,31.9,0.0,21.6,65.7,212386,197.2
강력,079160,CJ CGV,코스피,5560,3.35,31.8,0.0,24.1,65.1,61.4,57.3,적색,12,O,X,29.0,0.0,-4.5,60.4,806946,131.2
강력,294870,IPARK현대산업개발,코스피,22650,-0.22,31.6,0.2,16.8,63.1,60.7,44.3,적색,7,O,X,27.9,0.0,-5.1,55.2,117386,47.1
강력,092730,네오팜,코스닥,21150,-1.63,31.0,1.7,18.5,63.0,57.0,52.0,적색,29,O,O,25.6,0.0,7.9,61.2,67564,136.3
강력,340570,티앤엘,코스닥,33100,2.8,30.0,0.3,17.3,62.2,57.0,50.5,적색,7,O,X,28.2,0.0,5.0,60.1,206022,184.5
권고,270520,앱튼,코스닥,3670,-0.68,382.9,1.6,47.6,74.5,61.5,62.3,적색,31,O,X,336.4,0.0,-11.5,53.1,238514,91.0
권고,489460,바이오비쥬,코스닥,10750,0.84,94.4,2.6,51.8,74.4,72.9,70.5,적색,14,O,X,83.1,0.0,-13.2,55.8,59837,25.9
권고,121440,골프존홀딩스,코스닥,6580,-0.15,54.6,1.5,47.7,68.6,48.9,50.4,적색,29,O,O,54.6,1.4,25.7,65.6,92993,25.1
권고,251970,펌텍코리아,코스닥 GL,49500,-0.7,52.1,0.9,18.7,60.2,57.2,59.8,적색,29,O,X,52.1,0.0,-8.3,54.7,50418,71.9
권고,340810,시선AI,코스닥,3330,3.1,52.1,0.0,29.3,68.0,42.8,41.2,적색,13,O,X,52.1,0.0,-3.6,55.8,429551,95.5
권고,293780,압타바이오,코스닥,5570,-4.95,39.3,5.2,13.9,59.1,60.2,52.2,적색,7,X,X,39.3,21.2,-24.6,45.1,61586,62.7
권고,310200,애니플러스,코스닥,2665,0.76,34.5,5.3,11.9,55.9,46.5,46.5,적색,25,X,X,33.9,2.4,-16.2,47.3,137157,48.6
권고,038680,에스넷,코스닥,3820,-5.45,32.9,5.8,15.1,58.3,53.0,44.9,적색,6,O,X,32.9,7.2,-5.1,52.2,111441,41.0
