구분,점수,등급,코드,종목명,시장,현재가,등락%,청선유지일,청선평균,청선표준편차,청선최대,잠깐찍음,적선,적선5일확산,적선3일확산,T,B,U,20일상승%,60일상승%,30일선대비%,200일선대비%,그물망,거래량비%,5일거래량%,주봉적선,주봉청선,주봉유지주
초입형,98.0,최적,339950,아이비김영,코스닥,3120,3.31,6,0.81,0.92,2.5,X,31.9,11.8,5.1,27.3,68.9,71.4,16.0,20.5,13.3,34.4,적색,197.2,199.1,31.9,0.0,5
초입형,80.3,우수,260970,에스앤디,코스닥,58300,7.17,4,0.19,0.34,0.8,O,31.9,19.5,11.6,9.0,62.9,57.7,15.0,10.0,17.7,-4.7,적색,149.6,75.6,31.9,8.2,0
초입형,77.0,최적,122900,아이마켓코리아,코스피,7990,7.97,5,1.7,1.52,4.3,O,12.7,10.3,9.9,9.7,69.0,72.3,11.1,7.4,9.6,4.6,적색,922.8,235.4,12.4,0.0,1
초입형,65.4,우수,140070,서플러스글로벌,코스닥,1766,3.52,3,1.24,1.04,2.6,O,30.7,20.1,12.7,-4.2,55.3,72.8,17.7,-30.7,10.4,-14.1,청색,156.2,170.7,18.1,40.1,0
초입형,63.8,우수,009540,HD한국조선해양,코스피,398500,-0.38,3,0.25,0.18,0.4,O,21.9,4.3,7.5,6.3,55.8,65.4,21.7,-14.2,11.0,-3.1,적색,44.8,58.6,17.0,6.1,0
초입형,63.0,우수,053270,구영테크,코스닥,1970,3.14,3,0.14,0.2,0.4,O,19.2,9.2,6.2,-0.5,55.9,64.0,8.9,-12.1,6.9,-9.6,청색,254.0,89.7,16.9,15.7,0
초입형,60.5,우수,004000,롯데정밀화학,코스피,48550,2.32,4,0.95,1.53,3.6,O,14.4,9.2,6.4,0.9,55.5,61.7,13.0,-17.6,7.4,-0.4,적색,54.4,68.5,14.4,11.2,0
초입형,59.2,최적,018250,애경산업,코스피,11990,1.18,5,1.13,1.72,4.4,O,16.4,5.7,5.4,1.9,55.7,66.1,10.2,-10.6,6.3,-10.5,적색,119.2,94.0,16.4,18.1,0
초입형,58.1,우수,003850,보령,코스피,8800,0.11,3,0.54,0.76,1.6,O,16.2,8.1,5.9,1.8,55.9,68.5,9.0,-7.6,6.5,-2.8,청색,104.0,73.5,8.4,9.7,0
초입형,56.9,우수,007980,TP,코스피,1806,4.03,4,1.31,1.86,4.5,O,14.9,11.3,8.4,-1.8,58.4,74.6,8.8,-11.9,6.8,-2.3,청색,239.8,131.3,10.9,7.1,0
초입형,54.7,우수,251270,넷마블,코스피,40900,4.87,4,2.07,1.71,3.9,O,17.2,7.4,4.6,2.6,57.6,61.2,6.9,-2.5,9.0,-15.0,적색,118.9,104.8,16.4,6.1,0
과열형,99.6,우수,226340,본느,코스닥,6200,29.84,4,0.0,0.0,0.0,O,406.5,369.5,275.3,49.7,87.3,92.9,264.9,91.7,201.6,113.7,적색,335.4,3407.3,316.9,0.0,1
과열형,95.7,최적,078340,컴투스,코스닥 GL,33650,2.59,7,0.39,0.96,2.7,O,48.2,17.8,8.1,31.8,71.3,69.6,29.7,12.7,24.6,8.8,적색,169.8,217.0,48.2,0.0,2
과열형,81.0,최적,033560,블루콤,코스닥,5250,-3.49,7,1.46,1.79,4.4,O,44.8,14.0,-2.5,32.7,65.5,69.9,36.5,60.3,22.1,56.8,적색,65.8,103.6,59.1,0.0,5
과열형,75.5,우수,089860,롯데렌탈,코스피,40400,0.75,6,1.23,0.96,2.7,O,48.0,3.8,3.7,34.4,68.0,69.7,25.3,25.3,14.2,26.1,적색,93.2,81.4,48.0,0.0,5
과열형,74.8,우수,117730,티로보틱스,코스닥,14460,-2.17,3,0.85,0.97,2.2,O,31.7,19.6,9.1,1.5,54.7,57.6,26.1,-28.1,14.8,-21.1,적색,86.2,227.2,31.5,32.2,0
